timestamp,nav
2025-11-23 06:58:38,10000.0
2025-11-24 00:00:00,10050.0
2025-11-25 00:00:00,10080.0
2025-11-26 00:00:00,10120.0
2025-11-27 18:05:40,10463.44
2025-11-27 20:03:04,10463.43
2025-11-27 20:13:52,10461.43
2025-11-27 20:20:06,10462.60
2025-11-27 20:25:16,10462.60
2025-11-27 20:28:28,10458.60
2025-11-27 20:31:51,10458.60
2025-11-27 20:35:16,10458.60
2025-11-27 20:38:20,10458.60
2025-11-27 20:41:28,10458.60
2025-11-27 20:44:37,10458.60
2025-11-27 20:48:52,10458.60
2025-11-28 13:40:55,10779.83
2025-11-28 20:03:26,10773.62
2025-11-29 00:02:38,10773.62
2025-11-29 04:02:44,10771.51
2025-11-29 08:02:13,10771.51
2025-11-29 12:02:15,10771.51
2025-11-29 13:02:37,10771.51
2025-11-29 13:05:37,10771.51
2025-11-29 13:08:46,10771.51
2025-11-29 13:12:49,10771.51
2025-11-29 13:16:05,10771.51
2025-11-29 13:19:31,10771.51
2025-11-29 13:23:01,10771.51
2025-11-29 13:25:51,10771.51
2025-11-29 13:29:06,10771.51
2025-11-29 13:32:22,10771.51
2025-11-29 13:35:30,10771.51
2025-11-29 13:41:27,10769.51
2025-11-29 13:46:29,10769.51
2025-11-29 13:49:36,10769.51
2025-11-29 13:52:54,10769.51
2025-11-29 13:56:08,10769.51
2025-11-29 13:59:19,10769.51
2025-11-29 14:02:23,10769.51
2025-11-29 14:05:30,10769.51
2025-11-29 14:08:19,10769.51
2025-11-29 14:11:08,10769.51
